ds,Forecated,Actual Sales,type,level
31/01/2016,-44.2415097,103.32,Actual,Category - Office Supplies
29/02/2016,673.3890897498237,389.76,Actual,Category - Office Supplies
31/03/2016,260.2051102804687,858.559,Actual,Category - Office Supplies
30/04/2016,2068.6946583750178,1727.877,Actual,Category - Office Supplies
31/05/2016,794.0760136174791,306.056,Actual,Category - Office Supplies
30/06/2016,3622.335216278665,3425.848,Actual,Category - Office Supplies
31/07/2016,108.62251116675566,393.472,Actual,Category - Office Supplies
31/08/2016,72.90802135346166,1286.298,Actual,Category - Office Supplies
30/09/2016,4403.543517594183,7260.876,Actual,Category - Office Supplies
31/10/2016,1121.9634321429276,2130.252,Actual,Category - Office Supplies
30/11/2016,190.79397986829667,779.1189999999999,Actual,Category - Office Supplies
31/12/2016,2906.502615835628,3324.36,Actual,Category - Office Supplies
31/01/2017,1586.2683163327908,1677.362,Actual,Category - Office Supplies
28/02/2017,368.893296764953,99.76,Actual,Category - Office Supplies
31/03/2017,1625.7804544564233,896.248,Actual,Category - Office Supplies
30/04/2017,1489.3160164566937,1016.924,Actual,Category - Office Supplies
31/05/2017,1298.949381490098,496.118,Actual,Category - Office Supplies
30/06/2017,2745.297167319156,2208.378,Actual,Category - Office Supplies
31/07/2017,451.22242060699637,511.13199999999995,Actual,Category - Office Supplies
31/08/2017,887.5437542227362,387.10400000000004,Actual,Category - Office Supplies
30/09/2017,3595.611238525642,1114.942,Actual,Category - Office Supplies
31/10/2017,1171.5888807712195,1388.3980000000001,Actual,Category - Office Supplies
30/11/2017,1144.0272768735945,1699.344,Actual,Category - Office Supplies
31/12/2017,2699.6289014781682,3076.657,Actual,Category - Office Supplies
31/01/2018,1123.3875447027556,,Forecast,Category - Office Supplies
28/02/2018,89.02194798342657,,Forecast,Category - Office Supplies
31/03/2018,2991.9349001522687,,Forecast,Category - Office Supplies
30/04/2018,896.349156162493,,Forecast,Category - Office Supplies
31/05/2018,1796.3132992256071,,Forecast,Category - Office Supplies
30/06/2018,1869.6917468652414,,Forecast,Category - Office Supplies
31/07/2018,813.6995906550659,,Forecast,Category - Office Supplies
31/08/2018,1692.5889187560429,,Forecast,Category - Office Supplies
30/09/2018,2780.610503154583,,Forecast,Category - Office Supplies
31/10/2018,1240.742267546755,,Forecast,Category - Office Supplies
30/11/2018,2092.069678639775,,Forecast,Category - Office Supplies
31/12/2018,2471.3563843917373,,Forecast,Category - Office Supplies
31/01/2014,3041.095595454476,802.1400000000001,Actual,Category - Technology
28/02/2014,935.2938004398417,584.26,Actual,Category - Technology
31/03/2014,656.6489531796924,0,Actual,Category - Technology
30/04/2014,1453.969132056593,71.928,Actual,Category - Technology
31/05/2014,1336.8913523922276,1067.832,Actual,Category - Technology
30/06/2014,1541.6349954728419,2372.124,Actual,Category - Technology
31/07/2014,2054.4774331218573,2340.896,Actual,Category - Technology
31/08/2014,863.7244785586875,2214.6,Actual,Category - Technology
30/09/2014,7284.039463591043,16317.408,Actual,Category - Technology
31/10/2014,1332.5125698688878,2770.822,Actual,Category - Technology
30/11/2014,5133.661183028071,8558.75,Actual,Category - Technology
31/12/2014,2771.718359469074,1064.272,Actual,Category - Technology
31/01/2015,1926.3746577825377,1340.566,Actual,Category - Technology
28/02/2015,1638.9046753122107,278.752,Actual,Category - Technology
31/03/2015,1026.9863769320855,184.632,Actual,Category - Technology
30/04/2015,1347.7696944793622,1487.0500000000002,Actual,Category - Technology
31/05/2015,521.3859305561585,0,Actual,Category - Technology
30/06/2015,976.2393432804654,41.9,Actual,Category - Technology
31/07/2015,2365.504146482777,2644.53,Actual,Category - Technology
31/08/2015,595.4906272577541,0,Actual,Category - Technology
30/09/2015,7313.977699696677,2314.184,Actual,Category - Technology
31/10/2015,1451.524325819232,567.424,Actual,Category - Technology
30/11/2015,5046.123538623796,1064.656,Actual,Category - Technology
31/12/2015,2263.7714454255574,2387.39,Actual,Category - Technology
31/01/2016,826.8834475984683,758.774,Actual,Category - Technology
29/02/2016,-1045.018765,0,Actual,Category - Technology
31/03/2016,-743.942896,367.012,Actual,Category - Technology
30/04/2016,968.1082931231595,2488.166,Actual,Category - Technology
31/05/2016,2305.642484500665,2559.326,Actual,Category - Technology
30/06/2016,2086.1280880007766,1533.027,Actual,Category - Technology
31/07/2016,830.2299463235522,1380.4569999999999,Actual,Category - Technology
31/08/2016,776.4142903180536,386.874,Actual,Category - Technology
30/09/2016,6596.15358740376,5175.066,Actual,Category - Technology
31/10/2016,453.2981084776734,302.376,Actual,Category - Technology
30/11/2016,4631.860401481656,1200.914,Actual,Category - Technology
31/12/2016,3117.472536293465,3764.7380000000003,Actual,Category - Technology
31/01/2017,3538.062650666663,6446.902,Actual,Category - Technology
28/02/2017,-380.9151604,275.938,Actual,Category - Technology
31/03/2017,-355.2082741,27.816,Actual,Category - Technology
30/04/2017,906.1608327925856,617.976,Actual,Category - Technology
31/05/2017,1510.6973474092958,2037.4720000000002,Actual,Category - Technology
30/06/2017,1490.5564793827057,2136.962,Actual,Category - Technology
31/07/2017,1121.3649058136389,0,Actual,Category - Technology
31/08/2017,502.76478477804744,133.894,Actual,Category - Technology
30/09/2017,6623.420314100952,4010.1059999999998,Actual,Category - Technology
31/10/2017,578.3949856918325,180.92000000000002,Actual,Category - Technology
30/11/2017,4574.324477481113,8563.784,Actual,Category - Technology
31/12/2017,2635.2790958739747,3578.898,Actual,Category - Technology
31/01/2018,2409.2424132331216,,Forecast,Category - Technology
28/02/2018,303.44061739620804,,Forecast,Category - Technology
31/03/2018,24.795769756813115,,Forecast,Category - Technology
30/04/2018,822.1159482814942,,Forecast,Category - Technology
31/05/2018,705.0381684403824,,Forecast,Category - Technology
30/06/2018,909.7818112428208,,Forecast,Category - Technology
31/07/2018,1422.6242485870127,,Forecast,Category - Technology
31/08/2018,231.87129339222474,,Forecast,Category - Technology
30/09/2018,6652.18627812386,,Forecast,Category - Technology
31/10/2018,700.6593840978632,,Forecast,Category - Technology
30/11/2018,4501.80799684991,,Forecast,Category - Technology
31/12/2018,2139.865173186168,,Forecast,Category - Technology
